"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"5/15/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($9.98)"
"5/14/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($116.09)"
"5/13/2024","DIRECT DEBIT VENMO PAYMENT","Fidelity Investments","Cash Management","Online Payment","No","No","($18)"
"5/10/2024","DIRECT DEBIT CAPITAL ONE TRANSFER","Fidelity Investments","Cash Management","Transfers","No","No","($516.65)"
"5/9/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$516.65"
"5/9/2024","DEPOSIT RECEIVED CHECK RECEIVED MOBILE DEPOSIT","Fidelity Investments","Cash Management","Checks","No","No","$200"
"5/9/2024","DIRECT DEPOSIT COMMONWEALTHUM PAYROLL","Fidelity Investments","Cash Management","Paycheck/Salary","No","No","$1033.3"
"5/7/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($37.19)"
"5/6/2024","DIRECT DEBIT VENMO PAYMENT","Fidelity Investments","Cash Management","Online Payment","No","No","($16)"
"4/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Emergency Fund","Interest Income","No","No","$3.51"
"4/30/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Education","Interest Income","No","No","$45.02"
"4/25/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$499.99"
"4/11/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$415.58"
"4/2/2024","UMB NA","Capital One - via Direct Web API","Education","Income","No","No","$1000"
"3/31/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Emergency Fund","Interest Income","No","No","$3.66"
"3/31/2024","MONTHLY INTEREST PAID","Capital One - via Direct Web API","Education","Interest Income","No","No","$41"
"1/5/2024","DIRECT DEBIT CARDMEMBER SERWEB PYMT","Fidelity Investments","Cash Management","Credit Card Payment","No","No","($30)"
